Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70041,1,2,3,2,6,3,4,3,0,0,-1,0,1
200501BS70042,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70042,2,2,1,1,6,3,0,0,0,0,-1,9,1
200501BS70043,2,1,2,2,4,3,0,0,2,0,-1,9,-1
200501BS70044,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70045,1,1,3,1,9,3,5,1,0,0,-1,0,-1
200501BS70046,1,1,3,2,7,3,4,3,0,0,-1,0,1
200501BS70047,1,1,1,1,7,3,0,0,0,0,-1,3,-1
200501BS70048,1,1,1,2,7,3,0,0,0,0,-1,3,1
200501BS70049,1,1,3,2,6,3,4,3,0,0,-1,0,1
200501BS70050,3,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70051,1,1,3,1,5,3,5,3,0,0,-1,0,1
200501BS70052,1,1,3,2,9,3,5,1,0,0,-1,0,1
200501BS70053,1,1,3,1,10,3,1,1,0,0,-1,0,1
200501BS70054,2,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70055,1,1,3,1,5,3,7,8,0,0,-1,0,-1
200501BS70056,1,1,2,2,6,3,0,0,0,3,-1,11,-1
200501BS70058,2,1,1,1,8,3,0,0,0,0,-1,1,-1
200501BS70060,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70061,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70062,2,1,1,1,5,3,0,0,0,0,-1,5,1
200501BS70063,1,1,1,2,6,3,0,0,0,0,-1,2,-1
200501BS70065,2,1,1,1,8,3,0,0,0,0,-1,1,1
200501BS70066,1,1,1,1,6,2,0,0,0,0,-1,2,1
200501BS70067,2,1,1,2,6,3,0,0,0,0,-1,1,1
200501BS70068,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70068,1,2,2,1,6,3,0,0,1,0,-1,9,1
200501BS70068,2,3,1,2,5,3,0,0,0,0,-1,9,1
200501BS70068,2,4,2,1,6,3,0,0,1,0,-1,9,1
200501BS70069,1,1,3,1,8,3,5,2,0,0,-1,0,1
200501BS70070,1,1,3,2,6,3,5,1,0,0,-1,0,-1
200501BS70072,1,1,1,1,6,3,0,0,0,0,-1,2,-1
200501BS70073,2,1,1,1,10,2,0,0,0,0,-1,1,1
200501BS70074,1,1,1,1,7,3,0,0,0,0,-1,9,-1
200501BS70075,1,1,2,1,8,3,0,0,0,2,-1,11,1
200501BS70076,1,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70077,1,1,1,2,7,3,0,0,0,0,-1,9,1
200501BS70078,2,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70079,1,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70080,2,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70080,3,2,1,2,7,3,0,0,0,0,-1,9,1
200501BS70082,1,1,1,2,5,3,0,0,0,0,-1,4,-1
200501BS70083,1,1,3,2,6,3,4,1,0,0,-1,0,1
200501BS70084,1,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70085,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70086,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70087,1,1,1,1,8,3,0,0,0,0,-1,9,1
200501BS70088,1,1,2,1,7,2,0,0,0,2,-1,11,1
200501BS70089,2,1,1,2,7,2,0,0,0,0,-1,1,1
200501BS70090,1,1,1,1,8,3,0,0,0,0,-1,4,1
200501BS70090,1,2,3,2,5,3,4,1,0,0,-1,0,1
200501BS70091,1,1,3,1,11,3,5,1,0,0,-1,0,-1
200501BS70092,3,1,1,1,-1,3,0,0,0,0,-1,3,-1
200501BS70092,3,2,2,1,-1,3,0,0,0,0,-1,3,-1
200501BS70093,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70094,1,1,3,2,8,3,4,3,0,0,-1,0,-1
200501BS70095,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70096,1,1,1,1,6,2,0,0,0,0,-1,3,1
200501BS70097,1,1,3,2,4,3,5,1,0,0,-1,0,1
200501BS70098,1,1,3,2,9,3,5,1,0,0,-1,0,-1
200501BS70098,1,2,3,2,6,3,5,1,0,0,-1,0,1
200501BS70099,1,1,2,1,6,3,0,0,0,4,-1,11,1
200501BS70100,1,1,3,2,7,3,10,1,0,0,-1,0,-1
200501BS70101,1,1,3,2,9,3,5,1,0,0,-1,0,1
200501BS70102,1,1,1,2,8,3,0,0,0,0,-1,9,-1
200501BS70105,2,1,1,1,6,3,0,0,0,0,-1,1,-1
200501BS70107,1,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70108,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70109,1,1,1,1,8,3,0,0,0,0,-1,9,1
200501BS70110,1,1,1,1,9,3,0,0,0,0,-1,8,1
200501BS70111,2,1,1,1,5,3,0,0,0,0,-1,4,1
200501BS70112,2,1,1,1,8,3,0,0,0,0,-1,5,3
200501BS70113,1,1,2,2,10,3,0,0,0,1,-1,11,-1
200501BS70114,1,1,3,2,5,3,5,3,0,0,-1,0,1
200501BS70115,2,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70116,2,1,1,2,6,3,0,0,0,0,-1,1,1
200501BS70117,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70118,1,1,3,2,9,3,1,3,0,0,-1,0,-1
200501BS70119,1,1,3,1,5,3,1,1,0,0,-1,0,1
200501BS70121,2,1,1,1,7,3,0,0,0,0,-1,2,1
200501BS70123,1,1,3,2,8,3,4,2,0,0,-1,0,-1
200501BS70124,1,1,1,2,7,3,0,0,0,0,-1,9,1
200501BS70125,1,1,1,2,7,2,0,0,0,0,-1,3,1
200501BS70126,2,1,1,1,3,3,0,0,0,0,-1,1,-1
200501BS70127,1,1,3,2,6,3,1,1,0,0,-1,0,1
200501BS70128,2,1,1,2,6,3,0,0,0,0,-1,1,1
200501BS70129,1,1,3,1,6,3,1,3,0,0,-1,0,1
200501BS70130,2,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70131,1,1,3,2,5,3,1,1,0,0,-1,0,1
200501BS70132,1,1,3,1,6,3,10,9,0,0,-1,0,1
200501BS70133,1,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70134,1,1,1,1,5,2,0,0,0,0,-1,3,1
200501BS70135,1,1,2,1,5,3,0,0,0,3,-1,11,1
200501BS70136,2,1,1,1,5,2,0,0,0,0,-1,1,-1
200501BS70137,2,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70140,1,1,1,2,7,3,0,0,0,0,-1,3,1
200501BS70141,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70142,1,1,1,1,6,3,0,0,0,0,-1,5,2
200501BS70144,2,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70145,1,1,3,2,11,3,5,3,0,0,-1,0,1
