STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,MCYCL_WT,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,VIN_REST,WHLDRWHL,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1.0,10009.0,1.0,2.0,1.0,1.0,1.0,18.0,42.0,12.0,1.0,1.0,0.0,1.0,2.0,12.0,471.0,12471.0,30.0,1998.0,1FTZR15X9WPB,1,F,T,Z,R,1,5,X,9,W,P,B,0.0,T,FORD,RNS,PC,98.0,17.0,nan,1.0,0.0,1259.0,RNG,G,nan,,6,245,,,,B,3597,00,E,44,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,12.0,6.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,35125.0,6.0,1.0,1.0,0.0,3.0,0.0,66.0,234.0,0.0,1.0,0.0,3.0,1.0,4.0,2009.0,11.0,2011.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,13.0,6.0,1.0,4.0,32.0,0.0,0.0
1.0,10009.0,2.0,2.0,0.0,1.0,1.0,18.0,42.0,12.0,1.0,1.0,0.0,1.0,6.0,20.0,471.0,20471.0,30.0,1989.0,1GCCS19ZXK81,1,G,C,C,S,1,9,Z,X,K,8,1,0.0,T,CHEV,S14,PC,89.0,17.0,nan,1.0,0.0,1229.0,S,G,nan,,6,262,,,,B,2754,01,,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,99997.0,7.0,6.0,97.0,7.0,6.0,7.0,998.0,997.0,998.0,998.0,998.0,998.0,998.0,98.0,9998.0,98.0,9998.0,8.0,20.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,32.0,0.0,0.0
1.0,10010.0,1.0,1.0,3.0,4.0,1.0,18.0,28.0,8.0,0.0,1.0,0.0,1.0,1.0,49.0,40.0,49040.0,2.0,2006.0,4T1CA38P16U1,4,T,1,C,A,3,8,P,1,6,U,1,0.0,P,TOYT,CEE,CP,6.0,17.0,3417.0,nan,0.0,1051.0,,G,nan,F,6,201,,,16R215,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,36107.0,6.0,1.0,0.0,0.0,3.0,0.0,72.0,200.0,0.0,2.0,0.0,2.0,1.0,6.0,2009.0,11.0,2009.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,50.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,80.0,1.0,1.0,1.0,13.0,0.0,0.0
1.0,10011.0,1.0,1.0,1.0,6.0,1.0,13.0,36.0,31.0,0.0,1.0,0.0,1.0,1.0,18.0,22.0,18022.0,4.0,2006.0,2G4WD5821611,2,G,4,W,D,5,8,2,1,6,1,1,0.0,P,BUIC,LAL,4D,6.0,17.0,3502.0,nan,0.0,1105.0,,G,nan,F,6,232,,,16R225,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12.0,6.0,2.0,31.0,0.0,0.0,0.0,1.0,1.0,35210.0,6.0,1.0,0.0,0.0,3.0,0.0,60.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,25.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,4.0,6.0,1.0,0.0
1.0,10012.0,1.0,1.0,1.0,22.0,1.0,19.0,49.0,8.0,0.0,1.0,0.0,1.0,1.0,18.0,7.0,18007.0,4.0,1996.0,1G4AG55M2T64,1,G,4,A,G,5,5,M,2,T,6,4,0.0,P,BUIC,CSL,4D,96.0,17.0,2951.0,nan,0.0,1049.0,,G,nan,F,6,191,,,14R185,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,12.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,35503.0,6.0,1.0,0.0,0.0,3.0,0.0,67.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,80.0,1.0,1.0,1.0,13.0,0.0,0.0
1.0,10013.0,1.0,1.0,1.0,25.0,1.0,18.0,40.0,1.0,0.0,1.0,0.0,1.0,1.0,72.0,706.0,72706.0,80.0,1981.0,1HD1AEK17BY1,1,H,D,1,A,E,K,1,7,B,Y,1,0.0,M,HD,FLT,RS,81.0,17.0,nan,nan,nan,nan,,,1340.0,,2,,4,950,,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,35978.0,6.0,1.0,0.0,0.0,3.0,0.0,70.0,999.0,0.0,1.0,0.0,0.0,1.0,9.0,2009.0,7.0,2010.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,3.0,1.0,2.0,2.0,0.0,0.0,14.0,13.0,1.0,1.0,4.0,1.0,1.0,0.0
1.0,10014.0,1.0,1.0,1.0,27.0,1.0,18.0,50.0,42.0,0.0,1.0,0.0,1.0,2.0,35.0,47.0,35047.0,4.0,2004.0,1N4AL11D84C1,1,N,4,A,L,1,1,D,8,4,C,1,0.0,P,NISS,ABS,4D,4.0,17.0,2913.0,nan,0.0,1102.0,,G,nan,F,4,153,,,16R205,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,6.0,2.0,42.0,0.0,0.0,0.0,1.0,1.0,35564.0,6.0,1.0,0.0,0.0,3.0,1.0,73.0,165.0,1.0,0.0,0.0,1.0,1.0,8.0,2010.0,11.0,2010.0,1.0,89.0,0.0,0.0,0.0,1.0,2.0,45.0,3.0,5.0,2.0,1.0,0.0,0.0,14.0,13.0,1.0,1.0,4.0,1.0,1.0,0.0
1.0,10015.0,1.0,2.0,2.0,1.0,1.0,3.0,30.0,12.0,1.0,1.0,0.0,1.0,1.0,14.0,6.0,14006.0,4.0,2001.0,2MEFM75W61X6,2,M,E,F,M,7,5,W,6,1,X,6,0.0,P,MERC,MGL,4D,1.0,17.0,3948.0,nan,0.0,1147.0,,G,nan,F,8,281,,,16R225,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,12.0,6.0,2.0,12.0,0.0,0.0,1.0,1.0,1.0,35901.0,6.0,1.0,0.0,0.0,3.0,1.0,71.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,51.0,1.0,1.0,1.0,24.0,2.0,1.0
1.0,10015.0,2.0,2.0,3.0,1.0,1.0,3.0,30.0,12.0,1.0,1.0,0.0,1.0,1.0,20.0,37.0,20037.0,4.0,2000.0,1G1NE52J9Y61,1,G,1,N,E,5,2,J,9,Y,6,1,0.0,P,CHEV,M/L,4D,0.0,17.0,3077.0,nan,0.0,1070.0,,G,nan,F,6,191,,,15R215,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,6.0,6.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0,36695.0,6.0,1.0,0.0,0.0,3.0,0.0,68.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,53.0,1.0,1.0,1.0,25.0,0.0,0.0
1.0,10016.0,1.0,1.0,1.0,3.0,1.0,12.0,10.0,38.0,0.0,1.0,0.0,1.0,1.0,23.0,461.0,23461.0,21.0,2002.0,1GJHG39R0212,1,G,J,H,G,3,9,R,0,2,1,2,0.0,T,GMC,SA3,ES,2.0,17.0,nan,2.0,0.0,1550.0,SAV,G,nan,,8,350,,,,D,6122,00,E,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,12.0,6.0,2.0,18.0,0.0,0.0,0.0,1.0,1.0,35972.0,6.0,1.0,0.0,0.0,3.0,0.0,73.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,3.0,1.0,2.0,1.0,0.0,0.0,14.0,13.0,1.0,1.0,4.0,1.0,1.0,0.0
1.0,10017.0,1.0,1.0,1.0,3.0,1.0,16.0,10.0,53.0,0.0,1.0,0.0,28.0,1.0,63.0,38.0,63038.0,4.0,2011.0,KNAFU4A20B58,K,N,A,F,U,4,A,2,0,B,5,8,0.0,P,KIA,FEX,4D,11.0,17.0,2707.0,nan,0.0,1043.0,,G,nan,F,4,122,,,15R195,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.0,6.0,2.0,42.0,0.0,0.0,0.0,1.0,28.0,39362.0,6.0,1.0,0.0,0.0,3.0,0.0,73.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,45.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,4.0,6.0,1.0,0.0
1.0,10018.0,1.0,2.0,1.0,4.0,1.0,10.0,30.0,12.0,6.0,1.0,0.0,1.0,1.0,41.0,37.0,41037.0,4.0,1997.0,1YVGE22C0V56,1,Y,V,G,E,2,2,C,0,V,5,6,0.0,P,MAZD,UDL,4D,97.0,17.0,2749.0,nan,0.0,1028.0,,G,nan,F,4,122,,,14R195,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,6.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0,35575.0,6.0,1.0,0.0,0.0,3.0,0.0,67.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,1.0,2.0,1.0,20.0,3.0,1.0,17.0,1.0,1.0,1.0,89.0,1.0,0.0
1.0,10018.0,2.0,2.0,1.0,4.0,1.0,10.0,30.0,12.0,6.0,1.0,0.0,1.0,2.0,12.0,481.0,12481.0,31.0,2004.0,2FTRX17254CA,2,F,T,R,X,1,7,2,5,4,C,A,0.0,T,FORD,HER,4C,4.0,17.0,nan,2.0,1570.0,1390.0,COF,G,nan,,6,256,,,,B,4290,00,U,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.0,6.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0,35570.0,6.0,1.0,6.0,0.0,3.0,1.0,73.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,55.0,2.0,5.0,2.0,1.0,0.0,0.0,14.0,66.0,1.0,1.0,1.0,88.0,0.0,0.0
